time,x[m],y[m],theta[deg]
1755575432.564,0.000,0.000,0.00
1755575432.864,0.000,0.000,0.00
1755575433.164,0.000,0.000,0.00
1755575433.464,0.000,0.000,0.00
1755575433.764,0.000,0.000,0.00
1755575434.065,0.000,0.000,0.00
1755575434.365,0.000,0.000,0.00
1755575434.665,0.000,0.000,0.00
1755575434.965,0.000,0.000,0.00
1755575435.265,0.000,0.000,0.00
1755575435.565,0.000,0.000,0.00
1755575435.864,0.000,0.000,0.00
1755575436.164,0.000,0.000,0.00
1755575436.464,0.000,0.000,0.00
1755575436.765,0.000,0.000,0.00
1755575437.065,0.000,0.000,0.00
1755575437.364,0.000,0.000,0.00
1755575437.665,0.000,0.000,0.00
1755575437.964,0.000,0.000,0.00
1755575438.264,0.000,0.000,0.00
1755575438.564,0.000,0.000,0.00
1755575438.864,0.000,0.000,0.00
1755575439.165,0.000,0.000,0.00
1755575439.465,0.000,0.000,0.00
1755575439.764,0.000,0.000,0.00
1755575440.065,0.000,0.000,0.00
1755575440.364,0.000,0.000,0.00
1755575440.664,0.000,0.000,0.00
1755575440.965,0.000,0.000,0.00
1755575441.264,0.000,0.000,0.00
1755575441.565,0.000,0.000,0.00
1755575441.865,0.000,0.000,0.00
1755575442.164,0.000,0.000,0.00
1755575442.465,0.000,0.000,0.00
1755575442.765,0.000,0.000,0.00
1755575443.065,0.000,0.000,0.00
1755575443.365,0.000,0.000,0.00
1755575443.665,0.000,0.000,0.00
1755575443.965,0.000,0.000,0.00
1755575444.265,0.000,0.000,0.00
1755575444.565,0.000,0.000,0.00
1755575444.865,0.000,0.000,0.00
1755575445.165,0.000,0.000,0.00
1755575445.465,0.000,0.000,0.00
1755575445.765,0.000,0.000,0.00
1755575446.065,0.000,0.000,0.00
1755575446.364,0.000,0.000,0.00
1755575446.665,0.000,0.000,0.00
1755575446.965,0.000,0.000,0.00
1755575447.265,0.000,0.000,0.00
1755575447.565,0.000,0.000,0.00
1755575447.865,0.000,0.000,0.00
1755575448.165,0.000,0.000,0.00
1755575448.464,0.000,0.000,0.00
1755575448.765,0.000,0.000,0.00
1755575449.065,0.000,0.000,0.00
1755575449.365,0.000,0.000,0.00
1755575449.665,0.000,0.000,0.00
1755575449.965,0.000,0.000,0.00
1755575450.265,0.000,0.000,0.00
1755575450.565,0.000,0.000,0.00
1755575450.865,0.000,0.000,0.00
1755575451.165,0.000,0.000,0.00
1755575451.465,0.000,0.000,0.00
1755575451.765,0.000,0.000,0.00
1755575452.064,0.000,0.000,0.00
1755575452.365,0.000,0.000,0.00
1755575452.665,0.000,0.000,0.00
1755575452.965,0.000,0.000,0.00
1755575453.265,0.000,0.000,0.00
1755575453.565,0.000,0.000,0.00
1755575453.865,0.000,0.000,0.00
1755575454.165,0.000,0.000,0.00
1755575454.465,0.000,0.000,0.00
1755575454.765,0.000,0.000,0.00
1755575455.065,0.000,0.000,0.00
1755575455.365,0.000,0.000,0.00
1755575455.665,0.000,0.000,0.00
1755575455.965,0.000,0.000,0.00
1755575456.265,0.000,0.000,0.00
1755575456.565,0.000,0.000,0.00
1755575456.865,0.000,0.000,0.00
1755575457.165,0.000,0.000,0.00
1755575457.465,0.000,0.000,0.00
1755575457.765,0.000,0.000,0.00
1755575458.064,0.000,0.000,0.00
1755575458.364,0.000,0.000,0.00
1755575458.665,0.000,0.000,0.00
1755575458.965,0.000,0.000,0.00
1755575459.264,0.000,0.000,0.00
1755575459.564,0.000,0.000,0.00
1755575459.865,0.000,0.000,0.00
1755575460.165,0.000,0.000,0.00
1755575460.465,0.000,0.000,0.00
1755575460.765,0.000,0.000,0.00
1755575461.064,0.000,0.000,0.00
1755575461.365,0.000,0.000,0.00
1755575461.665,0.000,0.000,0.00
1755575461.965,0.000,0.000,0.00
1755575462.265,0.000,0.000,0.00
1755575462.565,0.000,0.000,0.00
1755575462.865,0.000,0.000,0.00
1755575463.165,0.000,0.000,0.00
1755575463.465,0.000,0.000,0.00
1755575463.765,0.000,0.000,0.00
1755575464.065,0.000,0.000,0.00
1755575464.364,0.000,0.000,0.00
1755575464.665,0.000,0.000,0.00
1755575464.965,0.000,0.000,0.00
1755575465.265,0.000,0.000,0.00
1755575465.565,0.000,0.000,0.00
1755575465.865,0.000,0.000,0.00
1755575466.165,0.000,0.000,0.00
1755575466.465,0.000,0.000,0.00
1755575466.765,0.000,0.000,0.00
1755575467.065,0.000,0.000,0.00
1755575467.365,0.000,0.000,0.00
1755575467.665,0.000,0.000,0.00
1755575467.965,0.000,0.000,0.00
1755575468.265,0.000,0.000,0.00
1755575468.565,0.000,0.000,0.00
1755575468.865,0.000,0.000,0.00
1755575469.164,0.000,0.000,0.00
1755575469.465,0.000,0.000,0.00
1755575469.765,0.000,0.000,0.00
